item,description,scheduled_value,previous_completed,this_period,stored_materials,total_completed,percent_complete,balance_to_finish,retainage
01,General conditions,240000.00,40000.00,20000.00,0.00,60000.00,25.00,180000.00,6000.00
02,Sitework and utilities,275000.00,247500.00,13750.00,0.00,261250.00,95.00,13750.00,26125.00
03,Concrete foundations and slab on grade,340000.00,238000.00,68000.00,0.00,306000.00,90.00,34000.00,30600.00
04,Masonry,215000.00,46500.00,43000.00,0.00,89500.00,41.63,125500.00,8950.00
05,Structural and miscellaneous steel,310000.00,93000.00,124000.00,31000.00,248000.00,80.00,62000.00,24800.00
06,Roofing and sheet metal,180000.00,0.00,72000.00,0.00,72000.00,45.00,108000.00,7200.00
07,"Doors, frames, and hardware",52000.00,0.00,30000.00,24000.00,54000.00,103.85,-2000.00,5400.00
08,Overhead doors,60000.00,0.00,15000.00,15000.00,30000.00,50.00,30000.00,3000.00
09,Finishes,265000.00,0.00,39750.00,0.00,39750.00,15.00,225250.00,3975.00
10,Plumbing,285000.00,57000.00,42750.00,0.00,99750.00,35.00,185250.00,9975.00
11,HVAC,395000.00,39500.00,59250.00,36000.00,134750.00,34.11,260250.00,9875.00
13,Electrical,445000.00,66750.00,66750.00,0.00,133500.00,30.00,301500.00,13350.00
14,CO-001 Storefront revisions,24750.00,0.00,9900.00,0.00,9900.00,40.00,14850.00,990.00
