item,description,scheduled_value,previous_completed,this_period,stored_materials,total_completed,percent_complete,balance_to_finish,retainage
01,General conditions,185000.00,18500.00,18500.00,0.00,37000.00,20.00,148000.00,3700.00
02,Sitework and earthwork,210000.00,147000.00,42000.00,0.00,189000.00,90.00,21000.00,18900.00
03,Concrete foundations and slab,265000.00,84500.00,106000.00,0.00,190500.00,71.89,74500.00,19050.00
04,Masonry,180000.00,0.00,54000.00,0.00,54000.00,30.00,126000.00,5400.00
05,Structural and miscellaneous steel,240000.00,0.00,72000.00,48000.00,120000.00,50.00,120000.00,7200.00
06,Roofing and sheet metal,145000.00,0.00,0.00,0.00,0.00,0.00,145000.00,0.00
07,"Doors, frames, and hardware",45000.00,0.00,27000.00,20000.00,47000.00,104.44,-2000.00,2700.00
08,Overhead doors,60000.00,0.00,0.00,0.00,0.00,0.00,60000.00,0.00
09,Finishes,190000.00,0.00,0.00,0.00,0.00,0.00,190000.00,0.00
10,Plumbing,220000.00,22000.00,33000.00,0.00,55000.00,25.00,165000.00,5500.00
11,HVAC,310000.00,0.00,31000.00,0.00,31000.00,10.00,279000.00,3100.00
12,Electrical,400000.00,20000.00,40000.00,0.00,60000.00,15.00,340000.00,6000.00
