Pinewood Construction Group - Budget Export,,,,
Project,Alder Creek Elementary School Classroom Addition,,,
Owner,Alder Creek Unified School District,,,
Estimate date,2026-09-01,,,
Estimate stage,90% Construction Documents,,,
Prepared by,Pinewood Construction Group,,,
,,,,
Section,Division,Description,Quantity,Amount
Direct cost,02 Existing Conditions,Selective demolition of corridor wall and canopy,1 LS,42500.00
Direct cost,02 Existing Conditions,Tree protection and site clearing,0.6 AC,18750.00
Direct cost,02 Existing Conditions,Division 02 subtotal,,61250.00
Direct cost,03 Concrete,Spread footings and foundation walls,210 CY,168000.00
Direct cost,03 Concrete,Slab-on-grade with vapor barrier,"12,400 SF",111600.00
Direct cost,03 Concrete,Site concrete walks and ramps,1 LS,27900.00
Direct cost,03 Concrete,Division 03 subtotal,,307500.00
Direct cost,05 Metals,Structural steel framing and roof deck,38 TN,261000.00
Direct cost,05 Metals,Canopy steel and miscellaneous metals,1 LS,44200.00
Direct cost,05 Metals,Division 05 subtotal,,305200.00
Direct cost,07 Thermal and Moisture Protection,TPO roofing and insulation,"12,900 SF",154800.00
Direct cost,07 Thermal and Moisture Protection,Metal wall panels and flashing,"6,200 SF",99200.00
Direct cost,07 Thermal and Moisture Protection,Division 07 subtotal,,254000.00
Direct cost,08 Openings,Aluminum storefront and windows,"1,150 SF",92000.00
Direct cost,08 Openings,"Hollow metal doors, frames, and hardware",22 EA,39600.00
Direct cost,08 Openings,Division 08 subtotal,,131600.00
Direct cost,09 Finishes,Gypsum board partitions and ceilings,"24,800 SF",136400.00
Direct cost,09 Finishes,Acoustic ceiling tile,"11,200 SF",47600.00
Direct cost,09 Finishes,Resilient flooring and carpet tile,"12,400 SF",74400.00
Direct cost,09 Finishes,Painting and wall protection,1 LS,33000.00
Direct cost,09 Finishes,Division 09 subtotal,,294100.00
Direct cost,22 Plumbing,"Fixtures, piping, and water heater",1 LS,118300.00
Direct cost,22 Plumbing,Division 22 subtotal,,118300.00
Direct cost,23 Heating Ventilating and Air Conditioning,"Rooftop units, ductwork, and controls","12,400 SF",286200.00
Direct cost,23 Heating Ventilating and Air Conditioning,"Testing, adjusting, and balancing",1 LS,12800.00
Direct cost,23 Heating Ventilating and Air Conditioning,Division 23 subtotal,,299000.00
Direct cost,26 Electrical,"Lighting, power, and distribution",1 LS,224700.00
Direct cost,26 Electrical,Fire alarm and low-voltage rough-in,1 LS,58900.00
Direct cost,26 Electrical,Division 26 subtotal,,283600.00
Direct cost,31 Earthwork,"Mass excavation, grading, and export","3,100 CY",71300.00
Direct cost,31 Earthwork,Aggregate base and subgrade preparation,1 LS,24600.00
Direct cost,31 Earthwork,Division 31 subtotal,,95900.00
Markup,,General conditions (26 weeks),,187200.00
Markup,,Builder's risk insurance and bond,,47300.00
Markup,,Estimating contingency,,107500.00
Markup,,Fee,,86000.00
Total,,Direct cost subtotal,,2150450.00
Total,,Markups,,428000.00
Total,,Grand total,,2578450.00
Alternate,,Alternate 1: Covered play structure at north courtyard,,64800.00
Alternate,,Alternate 2: Deduct - substitute VCT for carpet tile in classrooms,,-18200.00
